index,event_time,value,valueThreshold,isActive
585.0,1487524886.0,231,230,True
586.0,1487524942.0,231,230,True
587.0,1487524945.0,231,230,True
588.0,1487524977.0,231,230,True
589.0,1487525423.0,231,230,True
590.0,1487525779.0,231,230,True
591.0,1487525790.0,231,230,True
592.0,1487525794.0,231,230,True
593.0,1487525842.0,231,230,True
594.0,1487525843.0,231,230,True
595.0,1487526048.0,231,230,True
596.0,1487526062.0,231,230,True
597.0,1487526077.0,231,230,True
598.0,1487526095.0,231,230,True
599.0,1487526258.0,231,230,True
600.0,1487526260.0,231,230,True
601.0,1487526681.0,231,230,True
602.0,1487526697.0,231,230,True
603.0,1487526711.0,231,230,True
604.0,1487526726.0,231,230,True
605.0,1487527432.0,231,230,True
606.0,1487528282.0,231,230,True
607.0,1487528311.0,231,230,True
608.0,1487528315.0,231,230,True
609.0,1487529164.0,231,230,True
610.0,1487529237.0,231,230,True
611.0,1487529238.0,231,230,True
612.0,1487529307.0,231,230,True
613.0,1487529469.0,231,230,True
614.0,1487529693.0,231,230,True
615.0,1487529752.0,231,230,True
616.0,1487529754.0,231,230,True
617.0,1487529756.0,231,230,True
618.0,1487529758.0,231,230,True
619.0,1487529767.0,231,230,True
620.0,1487529774.0,231,230,True
621.0,1487529777.0,231,230,True
622.0,1487529785.0,231,230,True
623.0,1487529799.0,231,230,True
624.0,1487529803.0,231,230,True
625.0,1487529807.0,231,230,True
626.0,1487529967.0,231,230,True
627.0,1487530249.0,231,230,True
628.0,1487530383.0,231,230,True
629.0,1487530385.0,231,230,True
630.0,1487530528.0,231,230,True
631.0,1487530898.0,231,230,True
632.0,1487531021.0,231,230,True
633.0,1487531042.0,231,230,True
634.0,1487532028.0,231,230,True
635.0,1487532035.0,231,230,True
636.0,1487532036.0,231,230,True
637.0,1487532081.0,231,230,True
638.0,1487532475.0,231,230,True
639.0,1487532477.0,231,230,True
640.0,1487532486.0,231,230,True
641.0,1487532857.0,231,230,True
642.0,1487532870.0,231,230,True
643.0,1487532871.0,231,230,True
644.0,1487532907.0,231,230,True
645.0,1487533116.0,231,230,True
646.0,1487533127.0,231,230,True
647.0,1487533133.0,231,230,True
648.0,1487533162.0,231,230,True
649.0,1487533653.0,231,230,True
650.0,1487533854.0,231,230,True
651.0,1487533870.0,231,230,True
652.0,1487533875.0,231,230,True
653.0,1487533909.0,231,230,True
654.0,1487533916.0,231,230,True
655.0,1487533943.0,231,230,True
656.0,1487533945.0,231,230,True
